From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases
compound II	compound II	Biochemical Reaction	NADPH	Control	erythrocyte	17158050,8704218,3805001			
GSH	GSSG	Biochemical Reaction	GPX1	Catalysis	erythrocyte	21376665,18177777,17611006,16204390,2633878	GPX1		
GSR	GSR	Biochemical Reaction	NADPH	Control	erythrocyte	21376665,18177777,17611006,16204390,15862084	GSR		
GSSG	GSH	Biochemical Reaction	GSR	Catalysis	erythrocyte	21376665,18177777,17611006,16204390,15862084	GSR		
H2O	H2O2	Biochemical Reaction	SOD1	Catalysis	erythrocyte		SOD1		
H2O2	H2O	Biochemical Reaction	compound I,GPX1,PRDX2,vitamin c	Catalysis	erythrocyte	21376665,18177777,16204390,2633878	"PRDX2","GPX1"	vitamin c	
H2O2	H2O2	Biochemical Reaction	methylene blue,rasburicase	Control	erythrocyte			"methylene blue","rasburicase"	
H2O2	O2	Biochemical Reaction	compound I,GPX1,PRDX2,vitamin c	Catalysis	erythrocyte		"PRDX2","GPX1"	vitamin c	
NADPH	NADP	Biochemical Reaction			erythrocyte				
NADPH	NADP	Biochemical Reaction			erythrocyte				
	H2O2	Biochemical Reaction	SOD1	Catalysis	erythrocyte	20350285,2633878	SOD1		
		Biochemical Reaction	methylene blue,rasburicase,vitamin c	Control	erythrocyte	22024786,12569111		"methylene blue","vitamin c","rasburicase"	
TXN	TXN	Biochemical Reaction	PRDX2	Catalysis	erythrocyte	18479207,17611006,10657232	"PRDX2","TXN"		
TXN	TXN	Biochemical Reaction	TXNRD1	Catalysis	erythrocyte	18479207,17611006,10657232	"TXNRD1","TXN"		
TXNRD1	TXNRD1	Biochemical Reaction	NADPH	Control	erythrocyte	18479207,17611006,10657232	TXNRD1		
vitamin c	vitamin c	Biochemical Reaction	GSH,TXNRD1	Control	erythrocyte	11687303,10657232,9667500,9405334	TXNRD1	vitamin c	
vitamin c	vitamin c	Biochemical Reaction	GSH,TXNRD1	Control	erythrocyte	11687303,10657232,9667500,9405334	TXNRD1	vitamin c	
CAT	compound I	Conversion	H2O2	Catalysis	erythrocyte	22516655,17158050	CAT		
compound I	CAT	Conversion			erythrocyte	22516655,17158050	CAT		
compound I	compound II	Conversion			erythrocyte	22516655,17158050			
compound II	CAT	Conversion			erythrocyte	22516655,17158050	CAT		
