From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases
allopurinol	Oxypurinol	Biochemical Reaction	XDH	Catalysis	hepatocyte	20562597	XDH	allopurinol	
ATP	AMP	Biochemical Reaction	KHK	Catalysis	hepatocyte	24065788,23175570,18398011	KHK		
fructose	fructose-1-phosphate	Biochemical Reaction	KHK	Catalysis	hepatocyte	24065788,23175570,18398011	KHK	fructose	
Hypoxanthine	Xanthine	Biochemical Reaction	XDH	Catalysis	hepatocyte	16597166,12646938	XDH		
Uric Acid	5-hydroxyisourate	Biochemical Reaction	pegloticase,rasburicase	Catalysis		20562597,16597166,12646938		"pegloticase","rasburicase"	
Xanthine	Uric Acid	Biochemical Reaction	XDH	Catalysis	hepatocyte	22665944,20562597,16597166,12646938,11934348	XDH		
XDH	XDH	Biochemical Reaction	allopurinol,febuxostat,Oxypurinol	Inhibition	hepatocyte	22665944,20401506,20562597,19247302,16597166,12646938	XDH	"febuxostat","allopurinol"	
5-hydroxyisourate	Allantoin	Conversion				16597166,12646938			
5-hydroxyisourate	Hydrogen Peroxide	Conversion				16597166,12646938			
	Uric Acid	Transport		Control					
fructose	SLC2A5	Transport			hepatocyte	24065788,23175570,18398011	SLC2A5	fructose	
Hydrogen Peroxide	hydrogen peroxide	Transport			erythrocyte				
SLC2A5	fructose	Transport			hepatocyte	24065788,23175570,18398011	SLC2A5	fructose	
Uric Acid	Uric Acid	Transport			hepatocyte				
