From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases
CYB5A	CYB5A	Biochemical Reaction	CYB5R3	Catalysis	erythrocyte	22024786,18318771,10533013,8416301,7073040	"CYB5A","CYB5R3"		
Fe2+ Hemoglobin	Fe3+ Methemoglobin	Biochemical Reaction	Hydrogen Peroxide,methylene blue,methylene blue,reactive oxygen species	Catalysis	erythrocyte	22024786,15862084,10533013,8416301,7073040		methylene blue	
Fe3+ Methemoglobin	Fe2+ Hemoglobin	Biochemical Reaction	BLVRB,CYB5A,FAD,FMN,Leukomethylene Blue,riboflavin	Catalysis	erythrocyte	22024786,10533013	"CYB5A","BLVRB"	riboflavin	
Hydrogen Peroxide	Hydrogen Peroxide	Biochemical Reaction		Inhibition	erythrocyte				
Leukomethylene Blue	methylene blue	Biochemical Reaction			erythrocyte			methylene blue	
methylene blue	Leukomethylene Blue	Biochemical Reaction	BLVRB	Catalysis	erythrocyte		BLVRB	methylene blue	
NADH	NAD	Biochemical Reaction	CYB5R3	Catalysis	erythrocyte		CYB5R3		
NADPH	NADP	Biochemical Reaction	BLVRB	Catalysis	erythrocyte		BLVRB		
NADPH	NADPH	Biochemical Reaction	G6PD	Activation	erythrocyte	21376665,20350285,18177777,18226191,16204390	G6PD		
		Biochemical Reaction		Inhibition					
reactive oxygen species	reactive oxygen species	Biochemical Reaction		Inhibition	erythrocyte	7073040			
